,DimKey,DimAlternateKey,BatchId,DateFrom,DateTo,Description,IATACode,LVOwned,WorldRegionCode,WorldRegionDescription,CountryCode,Country,National,Schengen,Eu,Eøs,AirportCode,AirportCity,0,Null
0,2882,ENAL,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Ålesund,AES,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,AES,Ålesund,0.0,
1,2883,ENAL,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Ålesund,AES,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,AES,Ålesund,0.0,
2,2884,ENAN,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Andøya,ANX,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,ANX,Andenes,0.0,
3,2885,ENAN,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Andøya,ANX,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,ANX,Andenes,0.0,
4,2889,ENAT,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Alta,ALF,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,ALF,Alta,0.0,
5,2890,ENAT,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Alta,ALF,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,ALF,Alta,0.0,
6,2904,ENBL,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Førde,FDE,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,FDE,Førde,0.0,
7,2905,ENBL,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Førde,FDE,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,FDE,Førde,0.0,
8,2908,ENBN,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Brønnøysund,BNN,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,BNN,Brønnøysund,0.0,
9,2909,ENBN,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Brønnøysund,BNN,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,BNN,Brønnøysund,0.0,
