route,summer,autumn,change
EVE-OSL,14953,5365,9588
OSL-EVE,14389,5629,8760
OSL-TRD,15142,6853,8289
TOS-OSL,11830,4031,7799
OSL-TOS,12329,4904,7425
OSL-BGO,13656,6619,7037
TRD-OSL,12306,5494,6812
BOO-OSL,8877,2793,6084
BGO-OSL,12186,6296,5890
OSL-BOO,9279,3431,5848
OSL-SVG,10583,5367,5216
SVG-OSL,9624,4786,4838
OSL-ALF,4773,2177,2596
OSL-AES,4460,2061,2399
KKN-OSL,3457,1209,2248
AES-OSL,4200,2134,2066
OSL-KKN,3497,1583,1914
OSL-KRS,2277,708,1569
OSL-HAU,2642,1346,1296
EVE-BGO,1597,415,1182
BGO-EVE,1516,343,1173
MOL-OSL,1907,998,909
HAU-OSL,1925,1019,906
CPH-OSL,765,139,626
KRS-OSL,1208,618,590
OSL-MOL,1482,937,545
LGW-OSL,869,445,424
TRD-BGO,1109,690,419
OSL-LYR,1374,987,387
ALC-OSL,512,164,348
BGO-TRD,1188,855,333
BLL-OSL,438,142,296
AGP-OSL,364,82,282
HEL-OSL,394,133,261
PRG-OSL,161,29,132
HAM-OSL,288,165,123
CDG-OSL,141,33,108
ALF-OSL,587,505,82
KEF-OSL,73,2,71
ARN-OSL,222,156,66
AMS-OSL,62,26,36
TOS-LYR,375,344,31
MUC-OSL,77,46,31
LPA-OSL,45,16,29
EDI-OSL,43,36,7
CHQ-OSL,20,19,1
PRN-OSL,3,4,-1
BEG-OSL,1,2,-1
LYR-TOS,19,25,-6
NCE-OSL,6,13,-7
LYR-OSL,30,43,-13
BUD-OSL,152,189,-37
GDN-OSL,127,177,-50
TLL-OSL,218,276,-58
VNO-OSL,140,219,-79
KRK-OSL,313,477,-164
SXF-OSL,788,973,-185
RIX-OSL,306,492,-186
