route,people_summer,people_autumn,change_people_flat
OSL-CPH,5257.2,1389.7,3867.5
OSL-AGP,2782.0,772.2,2009.8
OSL-BLL,2542.8,648.7,1894.1000000000001
OSL-HEL,2229.5,444.6,1784.9
OSL-ALC,2688.4,956.8000000000001,1731.6
OSL-KEF,1693.9,91.0,1602.9
OSL-CHQ,1777.1000000000001,308.1,1469.0
OSL-PRG,1415.7,249.60000000000002,1166.1
OSL-AYT,1974.7,850.2,1124.5
OSL-VNO,1821.3,1007.5,813.8
OSL-PLQ,1677.0,863.2,813.8
OSL-GDN,1424.8,639.6,785.1999999999999
OSL-PRN,881.4,144.3,737.0999999999999
OSL-NCE,956.8000000000001,247.0,709.8000000000001
OSL-PMI,647.4,15.600000000000001,631.8
OSL-HAM,1345.5,721.5,624.0
OSL-TLL,1712.1000000000001,1129.7,582.4000000000001
OSL-CDG,1092.0,516.1,575.9
OSL-AMS,1129.7,586.3000000000001,543.4
OSL-SXF,2460.9,1952.6000000000001,508.29999999999995
OSL-LPA,639.6,275.6,364.0
OSL-ARN,1116.7,760.5,356.20000000000005
BGO-ALC,501.8,197.6,304.20000000000005
OSL-MUC,1053.0,782.6,270.4
OSL-RIX,1687.4,1519.7,167.70000000000005
OSL-KRK,1654.9,1487.2,167.70000000000005
ALC-OSL,182.0,26.0,156.0
CPH-OSL,210.6,70.2,140.39999999999998
OSL-SPU,425.1,319.8,105.30000000000001
OSL-BEG,525.2,439.40000000000003,85.80000000000001
ARN-OSL,219.70000000000002,247.0,-27.299999999999983
OSL-LGW,2072.2000000000003,2106.0,-33.79999999999973
OSL-BUD,1038.7,1168.7,-130.0
OSL-EDI,88.4,737.1,-648.7
