route,people_summer,people_autumn,change_people_flat
OSL-CPH,23643.100000000002,5703.1,17940.0
OSL-KEF,8166.6,306.8,7859.8
OSL-HEL,6666.400000000001,1445.6000000000001,5220.8
BGO-CPH,5015.400000000001,1223.3,3792.1000000000004
OSL-ALC,5062.2,1539.2,3523.0
OSL-NCE,3655.6,247.0,3408.6
OSL-CHQ,3458.0,308.1,3149.9
OSL-AGP,3850.6,816.4,3034.2
SVG-CPH,4009.2000000000003,1010.1,2999.1000000000004
OSL-AMS,4845.1,2263.3,2581.8
OSL-BLL,4798.3,2237.3,2561.0
OSL-ZRH,3411.2000000000003,960.7,2450.5
TRD-CPH,2483.0,409.5,2073.5
OSL-CDG,3601.0,1573.0,2028.0
OSL-RIX,5115.5,3347.5,1768.0
BGO-ABZ,2694.9,1105.0,1589.9
OSL-GDN,2510.3,1011.4000000000001,1498.9
OSL-AAL,1782.3,469.3,1313.0
OSL-ARN,5038.8,3731.0,1307.8000000000002
OSL-VNO,2659.8,1391.0,1268.8000000000002
OSL-FRA,5458.7,4261.400000000001,1197.2999999999993
OSL-PRG,1415.7,249.60000000000002,1166.1
OSL-AYT,1974.7,850.2,1124.5
OSL-KRK,3177.2000000000003,2089.1,1088.1000000000004
OSL-SPU,1393.6000000000001,360.1,1033.5
OSL-TLL,2276.3,1332.5,943.8000000000002
KEF-OSL,938.6,41.6,897.0
BGO-GDN,1418.3,522.6,895.6999999999999
OSL-BCN,1162.2,339.3,822.9000000000001
OSL-PMI,832.0,15.600000000000001,816.4
OSL-PLQ,1677.0,863.2,813.8
HAU-GDN,932.1,195.0,737.1
OSL-PRN,881.4,144.3,737.0999999999999
BGO-KUN,1171.3,438.1,733.1999999999999
AES-GDN,1298.7,573.3000000000001,725.4
OSL-WAW,1361.1000000000001,660.4,700.7000000000002
BGO-AMS,1339.0,677.3000000000001,661.6999999999999
BOO-GDN,903.5,284.7,618.8
OSL-LPA,1125.8,547.3000000000001,578.4999999999999
AES-KUN,1006.2,497.90000000000003,508.3
OSL-SXF,2460.9,1952.6000000000001,508.29999999999995
OSL-VIE,1094.6000000000001,591.5,503.10000000000014
BGO-SZZ,657.8000000000001,176.8,481.00000000000006
SVG-GDN,1196.0,720.2,475.79999999999995
OSL-SAW,638.3000000000001,185.9,452.4000000000001
SVG-KRK,1012.7,569.4,443.30000000000007
TOS-GDN,778.7,339.3,439.40000000000003
BGO-KRK,720.2,282.1,438.1
SVG-AMS,960.7,547.3000000000001,413.4
TRD-KRK,746.2,336.7,409.50000000000006
TRD-GDN,785.2,391.3,393.90000000000003
SVG-KTW,546.0,184.6,361.4
OSL-STN,1370.2,1024.4,345.79999999999995
SVG-SZZ,510.90000000000003,171.6,339.30000000000007
CPH-OSL,765.7,427.7,338.00000000000006
TOS-KRK,465.40000000000003,136.5,328.90000000000003
OSL-MUC,3078.4,2765.1,313.3000000000002
OSL-IST,825.5,520.0,305.5
BGO-ALC,501.8,197.6,304.20000000000005
SVG-KUN,725.4,439.40000000000003,285.99999999999994
TOS-ZRH,319.8,44.2,275.6
BGO-WAW,574.6,306.8,267.8
BGO-KTW,440.7,185.9,254.79999999999998
BGO-CDG,304.2,67.60000000000001,236.59999999999997
TRD-AMS,613.6,396.5,217.10000000000002
SVG-ABZ,1760.2,1554.8,205.4000000000001
HAU-ALC,224.9,23.400000000000002,201.5
ZRH-OSL,184.6,3.9000000000000004,180.7
AGP-OSL,208.0,32.5,175.5
OSL-OTP,248.3,79.3,169.0
HEL-OSL,286.0,119.60000000000001,166.39999999999998
OSL-HAM,1345.5,1181.7,163.79999999999995
DOH-OSL,230.1,84.5,145.6
MAN-OSL,162.5,24.7,137.8
ALC-OSL,353.6,239.20000000000002,114.4
FRA-OSL,211.9,111.8,100.10000000000001
OSL-BUD,1905.8,1807.0,98.79999999999995
OSL-BEG,852.8000000000001,757.9,94.90000000000009
ARN-OSL,1029.6000000000001,937.3000000000001,92.30000000000007
OSL-BRU,224.9,180.70000000000002,44.19999999999999
BLL-OSL,267.8,239.20000000000002,28.599999999999994
OSL-LGW,2072.2000000000003,2106.0,-33.79999999999973
CPH-SVG,157.3,195.0,-37.69999999999999
AES-AMS,150.8,193.70000000000002,-42.900000000000006
HAU-KRK,137.8,180.70000000000002,-42.900000000000006
BGO-CPT,221.0,282.1,-61.10000000000002
KRS-AMS,136.5,211.9,-75.4
OSL-MAN,750.1,926.9,-176.79999999999995
OSL-DOH,340.6,523.9,-183.29999999999995
SVG-NCL,63.7,248.3,-184.60000000000002
OSL-DXB,156.0,356.2,-200.2
BGO-OTP,98.8,325.0,-226.2
OSL-ADD,399.1,631.8000000000001,-232.70000000000005
OSL-DUB,432.90000000000003,699.4,-266.49999999999994
RIX-OSL,247.0,573.3000000000001,-326.30000000000007
OSL-DUS,765.7,1137.5,-371.79999999999995
OSL-EDI,395.2,1034.8,-639.5999999999999
OSL-LHR,4732.0,6217.900000000001,-1485.9000000000005
