route,people_summer,people_autumn,change_people_flat
BOO-SVG,1485.9,11.700000000000001,1474.2
OSL-BNN,1263.6000000000001,22.1,1241.5000000000002
EVE-BGO,3641.3,683.8000000000001,2957.5
BGO-EVE,3294.2000000000003,656.5,2637.7000000000003
OSL-LKL,2744.3,876.2,1868.1000000000001
ALF-OSL,9071.4,3107.0,5964.4
TOS-OSL,44764.200000000004,15788.5,28975.700000000004
BOO-OSL,41167.1,14560.0,26607.1
EVE-OSL,36203.700000000004,13087.1,23116.600000000006
LKL-OSL,3031.6,1108.9,1922.6999999999998
LKN-BOO,5522.400000000001,2030.6000000000001,3491.8
SVJ-BOO,4722.900000000001,1736.8,2986.1000000000004
OSL-RRS,313.3,115.7,197.60000000000002
SKN-BOO,1777.1000000000001,660.4,1116.7000000000003
OSL-EVE,38234.3,14272.7,23961.600000000002
OSL-BOO,45600.1,17247.100000000002,28352.999999999996
KKN-OSL,13871.0,5255.900000000001,8615.099999999999
OSL-TOS,55568.5,21141.9,34426.6
HFT-HVG,132.6,50.7,81.89999999999999
BDU-OSL,12346.1,4754.1,7592.0
BNN-BOO,955.5,369.2,586.3
KKN-VDS,913.9,354.90000000000003,559.0
BOO-LKN,6022.900000000001,2394.6,3628.3000000000006
HAA-TOS,681.2,276.90000000000003,404.3
OSL-KKN,13549.9,5518.5,8031.4
SDN-OSL,1008.8000000000001,412.1,596.7
LYR-OSL,4698.2,1935.7,2762.5
OSL-BDU,11969.1,4958.2,7010.900000000001
OSL-ALF,16299.400000000001,6815.900000000001,9483.5
KSU-OSL,5740.8,2406.3,3334.5
SSJ-BOO,971.1,408.2,562.9000000000001
TOS-VAW,188.5,79.3,109.2
BOO-BGO,6064.5,2553.2000000000003,3511.2999999999997
OSL-SDN,1145.3,483.6,661.6999999999999
KKN-TOS,1669.2,709.8000000000001,959.4
BOO-SKN,1976.0,854.1,1121.9
SSJ-TRD,1983.8,877.5,1106.3
LKN-TOS,967.2,430.3,536.9000000000001
BGO-BOO,5552.3,2488.2000000000003,3064.1
OSL-KRS,10884.9,4917.900000000001,5966.999999999999
TOS-TRD,7307.3,3315.0,3992.3
OSL-SVG,41431.0,18998.2,22432.8
KRS-OSL,10121.800000000001,4673.5,5448.300000000001
BOO-TRD,7057.7,3286.4,3771.2999999999997
BOO-SSJ,1116.7,521.3000000000001,595.4
SOJ-TOS,321.1,150.8,170.3
BOO-SVJ,4587.7,2160.6,2427.1
OSL-TRD,51073.1,24217.7,26855.399999999998
OSL-LYR,7182.5,3411.2000000000003,3771.2999999999997
MOL-OSL,7281.3,3467.1,3814.2000000000003
MEH-TOS,345.8,166.4,179.4
TRD-TOS,7078.5,3417.7000000000003,3660.7999999999997
OSL-BGO,46176.0,22343.100000000002,23832.899999999998
HAU-OSL,8890.7,4313.400000000001,4577.3
TOS-HAA,838.5,406.90000000000003,431.59999999999997
AES-OSL,14920.1,7272.2,7647.900000000001
TOS-ANX,941.2,458.90000000000003,482.3
OSL-KSU,5939.7,2913.3,3026.3999999999996
VDS-TOS,2167.1,1063.4,1103.6999999999998
BOO-BNN,902.2,443.3,458.90000000000003
ANX-TOS,889.2,438.1,451.1
SVG-OSL,34236.8,16975.4,17261.4
BVG-KKN,132.6,66.3,66.3
ALF-BJF,133.9,67.60000000000001,66.3
TRD-SSJ,2039.7,1037.4,1002.3
TRF-BGO,1978.6000000000001,1007.5,971.1000000000001
BGO-KRS,9652.5,4916.6,4735.9
OSL-AES,16706.3,8513.7,8192.599999999999
TRD-OSL,39395.200000000004,20151.3,19243.900000000005
HOV-BGO,835.9,427.7,408.2
HOV-OSL,2128.1,1090.7,1037.3999999999999
TOS-VDS,1627.6000000000001,838.5,789.1000000000001
KKN-VAW,379.6,196.3,183.3
MQN-BOO,1205.1000000000001,624.0,581.1000000000001
KRS-BGO,8255.0,4283.5,3971.5
TOS-SOJ,647.4,336.7,310.7
OSL-HAU,10835.5,5640.7,5194.8
SVG-BNN,174.20000000000002,91.0,83.20000000000002
BGO-TRF,6359.6,3330.6,3029.0000000000005
BOO-VRY,529.1,280.8,248.3
OSL-HOV,2562.3,1370.2,1192.1000000000001
TOS-MEH,400.40000000000003,215.8,184.60000000000002
OSL-MOL,7558.2,4074.2000000000003,3483.9999999999995
BGO-OSL,36257.0,19578.0,16679.0
TRD-BOO,5809.7,3142.1,2667.6
KKN-BVG,176.8,96.2,80.60000000000001
FRO-OSL,1760.2,967.2,793.0
MJF-BOO,561.6,309.40000000000003,252.2
BGO-HOV,882.7,488.8,393.90000000000003
OSL-SOG,1140.1000000000001,637.0,503.10000000000014
RVK-TRD,1151.8,644.8000000000001,506.9999999999999
MJF-TRD,1418.3,804.7,613.5999999999999
TRD-OSY,937.3000000000001,535.6,401.70000000000005
TOS-BVG,163.8,93.60000000000001,70.2
TOS-EVE,620.1,354.90000000000003,265.2
MOL-BGO,2540.2000000000003,1458.6000000000001,1081.6000000000001
SOG-HOV,283.40000000000003,163.8,119.60000000000002
FDE-OSL,1716.0,994.5,721.5
LYR-TOS,1350.7,791.7,559.0
ANX-BOO,536.9,317.2,219.7
BGO-TOS,7542.6,4488.900000000001,3053.7
BGO-MOL,2735.2000000000003,1631.5,1103.7000000000003
TOS-BGO,7910.5,4720.3,3190.2
TRD-BGO,11954.800000000001,7156.5,4798.300000000001
MQN-TRD,1662.7,995.8000000000001,666.9
SOG-OSL,851.5,510.90000000000003,340.59999999999997
HFT-TOS,3134.3,1903.2,1231.1000000000001
BGO-TRD,12717.9,7762.3,4955.599999999999
LKL-TOS,1751.1000000000001,1071.2,679.9000000000001
OSL-FDE,1913.6000000000001,1173.9,739.7
BJF-TOS,150.8,93.60000000000001,57.2
EVE-TOS,681.2,425.1,256.1
BOO-MJF,1062.1000000000001,666.9,395.20000000000016
OSY-TRD,696.8000000000001,440.7,256.1000000000001
TOS-LKN,639.6,408.2,231.40000000000003
TRD-RVK,1417.0,908.7,508.29999999999995
KSU-BGO,4786.6,3070.6,1716.0000000000005
TRD-SVG,6072.3,3896.1,2176.2000000000003
SVG-TRD,6925.1,4448.6,2476.5
TOS-KKN,2130.7000000000003,1370.2,760.5000000000002
HVG-TOS,404.3,260.0,144.3
VDS-KKN,782.6,504.40000000000003,278.2
BOO-TOS,4832.1,3114.8,1717.3000000000002
BGO-KSU,6221.8,4067.7000000000003,2154.1
TRD-MJF,1249.3,817.7,431.5999999999999
KKN-BJF,474.5,310.7,163.8
OSL-OLA,655.2,430.3,224.90000000000003
BOO-MQN,1405.3,923.0,482.29999999999995
TOS-LKL,2060.5,1354.6000000000001,705.8999999999999
BGO-SOG,617.5,421.2,196.3
TOS-BOO,4800.900000000001,3276.0,1524.9000000000005
OSL-FRO,2187.9,1501.5,686.4000000000001
RET-BOO,317.2,218.4,98.79999999999998
TRD-MQN,1459.9,1029.6000000000001,430.29999999999995
SOG-SDN,179.4,127.4,52.0
BJF-KKN,162.5,115.7,46.8
ALF-TOS,1937.0,1385.8,551.2
TOS-HFT,4017.0,2896.4,1120.6
TOS-LYR,1913.6000000000001,1401.4,512.2
TOS-ALF,2329.6,1710.8,618.8
TOS-HVG,358.8,266.5,92.30000000000001
SVG-BGO,14272.7,10610.6,3662.1000000000004
SOG-BGO,570.7,426.40000000000003,144.3
SVG-TRF,1121.9,859.3000000000001,262.6
BGO-SVG,13790.4,10580.7,3209.699999999999
BGO-FRO,3593.2000000000003,2818.4,774.8000000000002
VAW-KKN,248.3,200.20000000000002,48.099999999999994
FRO-BGO,3269.5,2640.3,629.1999999999998
BOO-RET,267.8,217.1,50.70000000000002
HOV-SOG,196.3,159.9,36.400000000000006
BGO-AES,4514.900000000001,3737.5,777.4000000000005
AES-BGO,3307.2000000000003,3139.5,167.70000000000027
BOO-ANX,544.7,527.8000000000001,16.899999999999977
KKN-ALF,395.2,400.40000000000003,-5.2000000000000455
ALF-VDS,205.4,209.3,-3.9000000000000057
TRD-BNN,1424.8,1489.8,-65.0
BNN-TRD,1228.5,1359.8,-131.29999999999995
OSL-SRP,100.10000000000001,378.3,-278.2
TRD-KRS,19.5,967.2,-947.7
KRS-TRD,20.8,1072.5,-1051.7
