route,people_summer,people_autumn,change_people_flat
ZRH-OSL,184,3,181
OSL-PMI,832,15,817
OSL-KEF,8166,306,7860
KEF-OSL,938,41,897
OSL-NCE,3655,247,3408
OSL-CHQ,3458,308,3150
HAU-ALC,224,23,201
TOS-ZRH,319,44,275
MAN-OSL,162,24,138
AGP-OSL,208,32,176
OSL-PRN,881,144,737
TRD-CPH,2483,409,2074
OSL-PRG,1415,249,1166
HAU-GDN,932,195,737
OSL-AGP,3850,816,3034
OSL-HEL,6666,1445,5221
BGO-CDG,304,67,237
OSL-CPH,23643,5703,17940
BGO-CPH,5015,1223,3792
SVG-CPH,4009,1010,2999
OSL-SPU,1393,360,1033
OSL-AAL,1782,469,1313
BGO-SZZ,657,176,481
OSL-ZRH,3411,960,2451
OSL-SAW,638,185,453
OSL-BCN,1162,339,823
TOS-KRK,465,136,329
OSL-ALC,5062,1539,3523
BOO-GDN,903,284,619
OSL-OTP,248,79,169
SVG-SZZ,510,171,339
SVG-KTW,546,184,362
DOH-OSL,230,84,146
BGO-GDN,1418,522,896
BGO-KUN,1171,438,733
BGO-KRK,720,282,438
BGO-ALC,501,197,304
OSL-GDN,2510,1011,1499
BGO-ABZ,2694,1105,1589
HEL-OSL,286,119,167
BGO-KTW,440,185,255
OSL-AYT,1974,850,1124
TOS-GDN,778,339,439
OSL-CDG,3601,1573,2028
AES-GDN,1298,573,725
TRD-KRK,746,336,410
OSL-BLL,4798,2237,2561
OSL-AMS,4845,2263,2582
OSL-WAW,1361,660,701
OSL-LPA,1125,547,578
AES-KUN,1006,497,509
TRD-GDN,785,391,394
BGO-AMS,1339,677,662
OSL-PLQ,1677,863,814
OSL-VNO,2659,1391,1268
FRA-OSL,211,111,100
BGO-WAW,574,306,268
OSL-VIE,1094,591,503
CPH-OSL,765,427,338
SVG-KRK,1012,569,443
SVG-AMS,960,547,413
OSL-TLL,2276,1332,944
SVG-GDN,1196,720,476
SVG-KUN,725,439,286
OSL-IST,825,520,305
TRD-AMS,613,396,217
OSL-RIX,5115,3347,1768
OSL-KRK,3177,2089,1088
ALC-OSL,353,239,114
OSL-ARN,5038,3731,1307
OSL-STN,1370,1024,346
OSL-FRA,5458,4261,1197
OSL-SXF,2460,1952,508
OSL-BRU,224,180,44
OSL-HAM,1345,1181,164
SVG-ABZ,1760,1554,206
OSL-BEG,852,757,95
BLL-OSL,267,239,28
OSL-MUC,3078,2765,313
ARN-OSL,1029,937,92
OSL-BUD,1905,1807,98
OSL-LGW,2072,2106,-34
OSL-MAN,750,926,-176
CPH-SVG,157,195,-38
BGO-CPT,221,282,-61
AES-AMS,150,193,-43
OSL-LHR,4732,6217,-1485
HAU-KRK,137,180,-43
OSL-DUS,765,1137,-372
OSL-DOH,340,523,-183
KRS-AMS,136,211,-75
OSL-ADD,399,631,-232
OSL-DUB,432,699,-267
OSL-DXB,156,356,-200
RIX-OSL,247,573,-326
OSL-EDI,395,1034,-639
BGO-OTP,98,325,-227
SVG-NCL,63,248,-185
