route,change_percent
BGO-EVE,341.9825072886297
EVE-BGO,284.8192771084337
OSL-KRS,221.6101694915254
BOO-OSL,217.83029001074118
TOS-OSL,193.47556437608534
KKN-OSL,185.93879239040533
EVE-OSL,178.7138863000932
OSL-BOO,170.44593412999126
OSL-EVE,155.62266832474685
OSL-TOS,151.40701468189232
TRD-OSL,123.98980706224975
OSL-TRD,120.95432657230414
OSL-KKN,120.90966519267215
OSL-ALF,119.24666972898488
OSL-AES,116.39980591945655
OSL-BGO,106.31515334642691
SVG-OSL,101.08650229837026
OSL-SVG,97.18651015464876
AES-OSL,96.81349578256793
OSL-HAU,96.2852897473997
KRS-OSL,95.46925566343045
BGO-OSL,93.55146124523507
MOL-OSL,91.08216432865729
HAU-OSL,88.9106967615309
TRD-BGO,60.72463768115942
OSL-MOL,58.16435432230522
OSL-LYR,39.209726443768986
BGO-TRD,38.947368421052644
ALF-OSL,16.23762376237624
TOS-LYR,9.011627906976747
