route,change_percent
OSL-PMI,41.49999999999999
OSL-KEF,18.614285714285714
ALC-OSL,7.0
OSL-PRN,6.108108108108108
OSL-CHQ,5.767932489451477
OSL-PRG,5.671875
OSL-HEL,5.014619883040935
OSL-BLL,3.9198396793587174
OSL-NCE,3.8736842105263163
OSL-CPH,3.7829747427502336
OSL-AGP,3.6026936026936025
CPH-OSL,3.0
OSL-ALC,2.809782608695652
BGO-ALC,2.5394736842105265
OSL-AYT,2.3226299694189603
OSL-LPA,2.320754716981132
OSL-GDN,2.227642276422764
OSL-CDG,2.115869017632242
OSL-PLQ,1.9427710843373494
OSL-AMS,1.9268292682926829
OSL-HAM,1.864864864864865
OSL-VNO,1.8077419354838709
OSL-TLL,1.5155350978135789
OSL-ARN,1.4683760683760685
OSL-MUC,1.345514950166113
OSL-SPU,1.329268292682927
OSL-SXF,1.2603195739014648
OSL-BEG,1.1952662721893492
OSL-KRK,1.1127622377622377
OSL-RIX,1.1103507271171942
OSL-LGW,0.9839506172839507
ARN-OSL,0.8894736842105264
OSL-BUD,0.8887652947719689
OSL-EDI,0.1199294532627866
