route,change_percent
OSL-PMI,5233.333333333333
ZRH-OSL,4633.333333333333
OSL-KEF,2561.864406779661
KEF-OSL,2156.25
OSL-NCE,1380.0
OSL-CHQ,1022.3628691983121
HAU-ALC,861.1111111111111
TOS-ZRH,623.5294117647059
MAN-OSL,557.8947368421053
AGP-OSL,540.0
OSL-PRN,510.8108108108107
TRD-CPH,506.3492063492063
OSL-PRG,467.1874999999999
HAU-GDN,378.0
OSL-AGP,371.656050955414
OSL-HEL,361.1510791366906
BGO-CDG,349.9999999999999
OSL-CPH,314.5657624800547
BGO-CPH,309.9893730074389
SVG-CPH,296.91119691119695
OSL-SPU,287.00361010830323
OSL-AAL,279.77839335180056
BGO-SZZ,272.05882352941177
OSL-ZRH,255.0744248985115
OSL-SAW,243.3566433566434
OSL-BCN,242.52873563218392
TOS-KRK,240.952380952381
OSL-ALC,228.88513513513513
BOO-GDN,217.35159817351598
OSL-OTP,213.11475409836066
SVG-SZZ,197.72727272727278
SVG-KTW,195.77464788732394
DOH-OSL,172.3076923076923
BGO-GDN,171.39303482587061
BGO-KUN,167.35905044510383
BGO-KRK,155.2995391705069
BGO-ALC,153.94736842105266
OSL-GDN,148.20051413881748
BGO-ABZ,143.8823529411765
HEL-OSL,139.13043478260866
BGO-KTW,137.06293706293704
OSL-AYT,132.26299694189603
TOS-GDN,129.50191570881228
OSL-CDG,128.92561983471074
AES-GDN,126.53061224489794
TRD-KRK,121.62162162162164
OSL-BLL,114.46833236490413
OSL-AMS,114.07237219988514
OSL-WAW,106.10236220472444
OSL-LPA,105.7007125890736
AES-KUN,102.08877284595299
TRD-GDN,100.66445182724253
BGO-AMS,97.69673704414585
OSL-PLQ,94.27710843373492
OSL-VNO,91.21495327102805
FRA-OSL,89.53488372093025
BGO-WAW,87.28813559322035
OSL-VIE,85.05494505494508
CPH-OSL,79.02735562310032
SVG-KRK,77.85388127853882
SVG-AMS,75.53444180522564
OSL-TLL,70.82926829268294
SVG-GDN,66.06498194945847
SVG-KUN,65.08875739644968
OSL-IST,58.75
TRD-AMS,54.754098360655746
OSL-RIX,52.81553398058253
OSL-KRK,52.08462974486623
ALC-OSL,47.82608695652174
OSL-ARN,35.052264808362374
OSL-STN,33.75634517766496
OSL-FRA,28.096400244051228
OSL-SXF,26.031957390146466
OSL-BRU,24.460431654676253
OSL-HAM,13.861386138613858
SVG-ABZ,13.210702341137129
OSL-BEG,12.521440823327628
BLL-OSL,11.95652173913043
OSL-MUC,11.330512458862255
ARN-OSL,9.847434119278786
OSL-BUD,5.4676258992805735
OSL-LGW,-1.6049382716049252
OSL-MAN,-19.07433380084151
CPH-SVG,-19.33333333333333
BGO-CPT,-21.658986175115214
AES-AMS,-22.14765100671141
HAU-KRK,-23.741007194244606
OSL-LHR,-23.89713568889819
OSL-DUS,-32.685714285714276
OSL-DOH,-34.987593052109176
KRS-AMS,-35.58282208588957
OSL-ADD,-36.83127572016461
OSL-DUB,-38.10408921933085
OSL-DXB,-56.20437956204379
RIX-OSL,-56.916099773242635
OSL-EDI,-61.80904522613064
BGO-OTP,-69.6
SVG-NCL,-74.3455497382199
