airport,bag_amount
OSL-TRD,6853
OSL-BGO,6619
BGO-OSL,6296
OSL-EVE,5629
TRD-OSL,5494
OSL-SVG,5367
EVE-OSL,5365
OSL-TOS,4904
SVG-OSL,4786
TOS-OSL,4031
OSL-BOO,3431
BOO-OSL,2793
OSL-ALF,2177
AES-OSL,2134
OSL-AES,2061
OSL-KKN,1583
OSL-HAU,1346
KKN-OSL,1209
HAU-OSL,1019
MOL-OSL,998
OSL-LYR,987
SXF-OSL,973
OSL-MOL,937
BGO-TRD,855
OSL-KRS,708
TRD-BGO,690
KRS-OSL,618
ALF-OSL,505
RIX-OSL,492
KRK-OSL,477
LGW-OSL,445
EVE-BGO,415
BGO-SVG,365
TOS-LYR,344
BGO-EVE,343
SVG-BGO,321
TLL-OSL,276
VNO-OSL,219
BUD-OSL,189
GDN-OSL,177
HAM-OSL,165
ALC-OSL,164
ARN-OSL,156
BLL-OSL,142
CPH-OSL,139
HEL-OSL,133
TRD-SVG,97
BGO-TOS,93
AGP-OSL,82
TOS-BGO,77
MUC-OSL,46
LYR-OSL,43
EDI-OSL,36
CDG-OSL,33
PRG-OSL,29
AMS-OSL,26
LYR-TOS,25
LGW-BGO,23
CHQ-OSL,19
LPA-OSL,16
NCE-OSL,13
PRN-OSL,4
KEF-OSL,2
BEG-OSL,2
SVG-AES,2
CPH-BGO,1
