airport,bag_amount
OSL-LGW,1620
OSL-SXF,1502
OSL-RIX,1169
OSL-KRK,1144
OSL-CPH,1069
OSL-BUD,899
OSL-TLL,869
OSL-VNO,775
OSL-ALC,736
OSL-PLQ,664
OSL-AYT,654
OSL-MUC,602
OSL-AGP,594
OSL-ARN,585
OSL-EDI,567
OSL-HAM,555
OSL-BLL,499
OSL-GDN,492
OSL-AMS,451
OSL-CDG,397
OSL-HEL,342
OSL-BEG,338
BGO-LGW,315
OSL-SPU,246
OSL-CHQ,237
OSL-LPA,212
OSL-PRG,192
ARN-OSL,190
OSL-NCE,190
BGO-ALC,152
OSL-PRN,111
BGO-CPH,98
HEL-OSL,70
OSL-KEF,70
CPH-OSL,54
VNO-OSL,53
BUD-OSL,53
BGO-CHQ,32
RIX-OSL,30
TLL-OSL,29
AGP-OSL,25
SXF-OSL,21
BLL-OSL,20
ALC-OSL,20
PRG-OSL,13
KEF-OSL,12
OSL-PMI,12
LPA-OSL,9
LGW-OSL,8
CDG-OSL,5
GDN-OSL,5
NCE-OSL,4
MUC-OSL,3
KRK-OSL,3
EDI-OSL,2
AMS-OSL,1
