airport,bag_amount
OSL-TRD,26657
OSL-BGO,24303
OSL-TOS,22402
TRD-OSL,21480
OSL-SVG,20840
BGO-OSL,20599
OSL-BOO,18312
SVG-OSL,18283
TOS-OSL,17816
BOO-OSL,15780
OSL-EVE,15140
EVE-OSL,14295
BGO-SVG,10794
SVG-BGO,10597
OSL-AES,9038
BGO-TRD,8371
TRD-BGO,7701
AES-OSL,7678
OSL-ALF,7033
KKN-OSL,5980
OSL-HAU,5933
OSL-KKN,5794
BDU-OSL,5693
OSL-KRS,5265
TOS-BGO,5099
BGO-KRS,5089
OSL-BDU,5055
KRS-OSL,4774
SVG-TRD,4649
HAU-OSL,4644
OSL-MOL,4508
KRS-BGO,4496
BGO-TOS,4482
TRD-SVG,4058
BGO-KSU,4032
BGO-AES,3846
MOL-OSL,3838
ALF-OSL,3652
BOO-TRD,3539
TOS-TRD,3521
TRD-TOS,3455
BGO-TRF,3447
OSL-LYR,3435
TOS-BOO,3432
AES-BGO,3360
TRD-BOO,3271
BOO-TOS,3260
KSU-BGO,3216
OSL-KSU,2957
TOS-HFT,2950
BOO-BGO,2859
BGO-FRO,2802
KSU-OSL,2713
BGO-BOO,2706
FRO-BGO,2541
BOO-LKN,2495
LKN-BOO,2211
BOO-SVJ,2156
LYR-OSL,2140
HFT-TOS,2082
SVJ-BOO,1939
TOS-ALF,1724
BGO-MOL,1588
OSL-FRO,1533
MOL-BGO,1511
TRD-BNN,1492
OSL-HOV,1425
TOS-KKN,1418
ALF-TOS,1407
TOS-LYR,1400
BNN-TRD,1389
TOS-LKL,1379
LKL-TOS,1232
TRD-EVE,1216
OSL-FDE,1210
FRO-OSL,1152
HOV-OSL,1139
VDS-TOS,1135
TRD-SSJ,1126
TRD-TRF,1097
LKL-OSL,1063
MQN-TRD,1059
TRF-BGO,1055
TRD-MQN,1048
FDE-OSL,1028
KRS-TRD,1002
SSJ-TRD,953
BOO-MQN,938
BOO-SKN,935
TRD-RVK,934
TRD-KRS,926
OSL-LKL,908
SVG-TRF,907
MJF-TRD,902
LYR-TOS,875
TOS-VDS,861
EVE-TRD,839
KKN-TOS,809
TRD-MJF,805
SKN-BOO,755
EVE-BGO,755
RVK-TRD,730
OSL-SOG,692
BOO-MJF,683
BGO-EVE,683
MQN-BOO,664
TRD-OSY,581
BOO-SSJ,560
SOG-OSL,540
SKN-TOS,540
BOO-ANX,515
VDS-KKN,512
OSL-SDN,512
BGO-HOV,487
OSY-TRD,484
TOS-ANX,479
ANX-TOS,478
LKN-TOS,462
BGO-SOG,453
SDN-OSL,451
HOV-BGO,448
OSL-OLA,447
BOO-BNN,442
SSJ-BOO,438
TOS-LKN,431
SOG-BGO,427
TOS-SKN,426
TOS-HAA,422
EVE-TOS,419
TRD-AES,414
KKN-ALF,409
OSL-SRP,395
BNN-BOO,393
KKN-VDS,386
ANX-BOO,368
HAA-TOS,366
TOS-EVE,348
TOS-SOJ,345
AES-TRD,322
MJF-BOO,312
KKN-BJF,307
BGO-HAU,302
BOO-VRY,299
TRF-TRD,296
HVG-TOS,278
TOS-HVG,272
HAU-BGO,266
ALF-VDS,226
TOS-MEH,224
RET-BOO,220
KKN-VAW,212
BOO-RET,205
VAW-KKN,196
MEH-TOS,191
SOG-HOV,173
SOJ-TOS,162
OSL-RRS,156
SVG-AES,155
HOV-SOG,149
BOO-SVG,126
SOG-SDN,124
BJF-KKN,116
KKN-BVG,104
BJF-TOS,98
SVG-BOO,95
ALF-MEH,92
TOS-BVG,92
