airport,bag_amount
OSL-LHR,4783
OSL-CPH,4387
OSL-FRA,3278
OSL-ARN,2870
TOS-OSL,2700
OSL-RIX,2575
OSL-MUC,2127
BGO-OSL,2118
TRD-OSL,2079
OSL-AMS,1741
OSL-BLL,1721
BOO-OSL,1670
OSL-LGW,1620
OSL-KRK,1607
OSL-SXF,1502
SVG-OSL,1483
OSL-BUD,1390
OSL-CDG,1210
SVG-ABZ,1196
OSL-ALC,1184
OSL-HEL,1112
OSL-VNO,1070
OSL-TLL,1025
BGO-CPH,941
OSL-HAM,909
EVE-OSL,892
OSL-DUS,875
BGO-ABZ,850
OSL-EDI,796
OSL-TXL,794
OSL-STN,788
OSL-GDN,778
SVG-CPH,777
AES-OSL,740
OSL-ZRH,739
ARN-OSL,721
OSL-MAN,713
OSL-PLQ,664
OSL-AYT,654
OSL-AGP,628
SVG-LHR,608
OSL-BEG,583
SVG-GDN,554
OSL-DUB,538
BGO-AMS,521
OSL-WAW,508
OSL-ADD,486
OSL-VIE,455
RIX-OSL,441
AES-GDN,441
SVG-KRK,438
SVG-AMS,421
OSL-LPA,421
KRS-OSL,413
HAU-OSL,410
OSL-DOH,403
BGO-GDN,402
OSL-IST,400
AES-KUN,383
OSL-AAL,361
SVG-KUN,338
BGO-KUN,337
CPH-OSL,329
TRD-CPH,315
BGO-LGW,315
TRD-AMS,305
TRD-GDN,301
BGO-SVG,298
ALF-OSL,284
OSL-SPU,277
OSL-DXB,274
OSL-BCN,261
TOS-GDN,261
TRD-KRK,259
BGO-OTP,250
OSL-CHQ,237
OSL-KEF,236
BGO-WAW,236
OSL-KBP,232
MOL-OSL,228
OSL-SVG,225
KKN-OSL,220
BOO-GDN,219
BGO-CPT,217
BGO-KRK,217
OSL-PRG,192
SVG-NCL,191
OSL-NCE,190
BLL-OSL,184
ALC-OSL,184
KSU-OSL,181
KSU-BGO,164
KRS-AMS,163
BDU-OSL,158
BGO-ALC,152
CPH-SVG,150
HAU-GDN,150
OSL-KLU,150
AES-AMS,149
OSL-SAW,143
BGO-KTW,143
SVG-KTW,142
OSL-BRU,139
HAU-KRK,139
BGO-SZZ,136
LYR-OSL,135
SVG-SZZ,132
SVG-HRI,126
OSL-PRN,111
TOS-KRK,105
AES-BGO,98
HEL-OSL,92
KRS-CPH,87
FRA-OSL,86
OSL-GZP,82
FRO-OSL,78
TRD-SVG,78
SPU-OSL,77
KRS-BGO,76
DUB-OSL,75
FRO-BGO,70
DOH-OSL,65
OSL-BGO,64
BGO-LCA,63
OSL-OTP,61
AAL-OSL,55
VNO-OSL,53
BUD-OSL,53
BGO-CDG,52
TXL-OSL,50
SVG-BGO,47
AES-ABZ,45
BOO-VNO,43
DUS-OSL,41
TRD-BGO,41
HOV-OSL,39
ABZ-SVG,38
LKL-OSL,37
MOL-LCA,37
TOS-BGO,36
FDE-OSL,35
AMS-OSL,35
TOS-ZRH,34
EDI-OSL,33
KEF-OSL,32
SVG-EDI,32
BGO-CHQ,32
SDN-OSL,31
OSL-MJT,31
TLL-OSL,30
BOO-BGO,30
TRF-BGO,27
AGP-OSL,25
OSL-FAE,25
MOL-MBX,24
ADD-OSL,22
HAU-BGO,21
SXF-OSL,21
GDN-OSL,21
KBP-OSL,20
MAN-OSL,19
SOG-OSL,19
HAU-ALC,18
LHR-OSL,17
BRU-OSL,17
TRD-KEF,17
BGO-SEN,17
TRF-SVG,15
MOL-BGO,15
HAM-OSL,15
LPA-OSL,15
HAU-AGP,14
PRG-OSL,13
OSL-PMI,12
SVG-EME,11
RVK-TRD,10
DXB-OSL,10
SSJ-TRD,10
BGO-LSI,10
SRP-OSL,9
CDG-OSL,9
LGW-OSL,8
EVE-TRD,7
OSY-TRD,6
WAW-OSL,6
BGO-KRS,5
ABZ-BGO,5
MQN-TRD,5
KSU-MAN,5
KRS-ABZ,5
OSL-BOO,4
NCE-OSL,4
BNN-TRD,4
IST-OSL,4
BOO-TRD,4
MJF-TRD,3
MUC-OSL,3
ZRH-OSL,3
KRK-OSL,3
BGO-SYY,3
HAU-BQH,2
HOV-BGO,2
CDG-BGO,2
BGO-AES,2
OSL-TRD,2
BGO-KSU,2
BGO-TRF,2
BGO-TRD,2
OSL-OLA,1
OSL-TOS,1
SOG-BGO,1
TRD-BNN,1
OSL-KKN,1
OSL-RRS,1
BEG-OSL,1
TRD-MQN,1
CPH-BGO,1
AMS-SVG,1
OSL-KRS,1
