airport,bag_amount
OSL-TOS,42745
OSL-TRD,39287
OSL-BGO,35520
OSL-BOO,35077
TOS-OSL,34434
OSL-SVG,31870
BOO-OSL,31667
TRD-OSL,30304
OSL-EVE,29411
BGO-OSL,27890
EVE-OSL,27849
SVG-OSL,26336
OSL-AES,12851
OSL-ALF,12538
AES-OSL,11477
SVG-BGO,10979
KKN-OSL,10670
BGO-SVG,10608
OSL-KKN,10423
CPH-OSL,9802
BGO-TRD,9783
BDU-OSL,9497
OSL-BDU,9207
TRD-BGO,9196
OSL-KRS,8373
OSL-HAU,8335
KRS-OSL,7786
BGO-KRS,7425
ALF-OSL,6978
HAU-OSL,6839
KRS-BGO,6350
TOS-BGO,6085
OSL-MOL,5814
BGO-TOS,5802
TOS-TRD,5621
MOL-OSL,5601
OSL-LYR,5525
TRD-TOS,5445
BOO-TRD,5429
SVG-TRD,5327
BGO-TRF,4892
BGO-KSU,4786
TRD-SVG,4671
BOO-BGO,4665
FRA-OSL,4659
BOO-LKN,4633
OSL-KSU,4569
TRD-BOO,4469
KSU-OSL,4416
BGO-BOO,4271
LKN-BOO,4248
BOO-TOS,3717
TOS-BOO,3693
KSU-BGO,3682
SVJ-BOO,3633
LYR-OSL,3614
BOO-SVJ,3529
BGO-AES,3473
TOS-HFT,3090
EVE-BGO,2801
BGO-FRO,2764
AES-BGO,2544
BGO-EVE,2534
FRO-BGO,2515
HFT-TOS,2411
LKL-OSL,2332
OSL-LKL,2111
BGO-MOL,2104
ARN-OSL,2014
OSL-HOV,1971
MOL-BGO,1954
RIX-OSL,1813
TOS-ALF,1792
BLL-OSL,1780
OSL-FRO,1683
VDS-TOS,1667
TOS-KKN,1639
HOV-OSL,1637
OSL-ANX,1608
TOS-LKL,1585
TRD-SSJ,1569
SSJ-TRD,1526
TRF-BGO,1522
BOO-SKN,1520
DOH-OSL,1499
ALF-TOS,1490
TOS-LYR,1472
OSL-FDE,1472
SKN-BOO,1367
FRO-OSL,1354
LKL-TOS,1347
FDE-OSL,1320
KKN-TOS,1284
MQN-TRD,1279
TOS-VDS,1252
MUC-OSL,1238
SVG-BOO,1153
BOO-SVG,1143
TRD-MQN,1123
BNN-OSL,1117
TRD-BNN,1096
MJF-TRD,1091
TRD-RVK,1090
BOO-MQN,1081
LYR-TOS,1039
ALC-OSL,1016
SVG-EVE,1006
EVE-SVG,1005
OSL-BNN,972
KEF-OSL,964
TRD-MJF,961
BNN-TRD,945
MQN-BOO,927
RVK-TRD,886
OSL-SDN,881
OSL-SOG,877
LGW-OSL,869
SVG-TRF,863
BOO-SSJ,859
BOO-KRS,847
KRS-BOO,836
AMS-BGO,828
BOO-MJF,817
LHR-OSL,814
CPH-BGO,793
SXF-OSL,788
SDN-OSL,776
SSJ-BOO,747
LKN-TOS,744
BNN-BOO,735
TOS-ANX,724
BOO-TRF,722
TRD-OSY,721
DUS-OSL,705
EVE-KRS,704
KKN-VDS,703
BOO-BNN,694
KRS-EVE,691
AMS-OSL,690
ANX-TOS,684
BGO-HOV,679
AAL-OSL,656
SOG-OSL,655
TOS-HAA,645
HOV-BGO,643
HEL-OSL,635
ABZ-BGO,620
VDS-KKN,602
EVE-TRF,575
TOS-TRF,536
OSY-TRD,536
EVE-TOS,524
HAA-TOS,524
OSL-OLA,504
TOS-SOJ,498
TOS-LKN,492
AGP-OSL,490
TOS-EVE,477
BGO-SOG,475
AAR-OSL,471
SOG-BGO,439
MJF-BOO,432
BOO-ANX,419
ANX-BOO,413
BOO-VRY,407
CDG-OSL,387
ZRH-OSL,386
KKN-BJF,365
MAN-OSL,331
KRK-OSL,313
HVG-TOS,311
TOS-MEH,308
KKN-ALF,304
ANX-BGO,299
WAW-OSL,292
KKN-VAW,292
HAM-OSL,288
TOS-HVG,276
MEH-TOS,266
SOJ-TOS,247
TLL-OSL,245
RET-BOO,244
OSL-RRS,241
SOG-HOV,218
NCE-OSL,214
ABZ-SVG,206
BOO-RET,206
BGO-ANX,204
ATH-OSL,194
VAW-KKN,191
IST-OSL,169
VNO-OSL,164
CPH-TRD,161
PRG-OSL,161
TRF-BOO,159
ALF-VDS,158
BUD-OSL,152
HOV-SOG,151
TOS-VAW,145
SOG-SDN,138
KKN-BVG,136
EDI-OSL,135
SVG-BNN,134
GDN-OSL,127
TOS-BVG,126
BJF-KKN,125
CPH-SVG,124
BJF-TOS,116
CDG-BGO,106
ALF-BJF,103
HFT-HVG,102
BVG-KKN,102
DUB-OSL,95
ADD-OSL,93
ALF-MEH,92
ANX-OSL,90
AMS-TRD,87
LPA-OSL,82
HFT-HAA,77
VDS-MEH,77
OSL-SRP,77
TRD-BDU,72
HFT-MEH,69
BJF-VDS,68
ALF-KKN,65
BGO-SDN,64
TRF-TOS,64
HVG-HFT,62
SDN-BGO,61
SVG-ALF,60
BCN-OSL,59
HAA-HFT,57
SDN-SOG,55
MEH-VDS,55
VDS-BJF,53
HFT-KKN,51
KSU-SVG,50
SPU-OSL,46
OSL-VDS,42
LKL-HFT,42
BEG-OSL,41
BVG-VDS,40
OSL-HVG,40
MEH-HFT,39
BGO-ALF,38
MJF-MQN,38
TOS-BJF,36
ALF-HFT,35
MEH-KKN,35
KSU-BNN,33
HFT-VDS,32
VDS-ALF,32
KKN-HFT,31
ALF-BOO,30
SVJ-LKN,30
ALF-BGO,29
VAW-VDS,28
VDS-BVG,28
BVG-TOS,27
SVJ-RET,26
RET-SVJ,26
ALF-SVG,26
ALF-HVG,24
VDS-VAW,24
MOL-ALF,24
TRD-ALF,24
PMI-OSL,24
OSL-SVJ,24
HFT-BVG,23
BOO-AES,23
BOO-EVE,23
TRF-SVG,22
VAW-TOS,22
SDN-HOV,21
FRO-FDE,21
CHQ-OSL,20
ALF-MOL,19
BJF-HFT,17
SSJ-RVK,17
DXB-OSL,17
MQN-OSL,17
VDS-HFT,16
ALF-TRD,16
MEH-HVG,16
AES-BOO,16
KRS-TRD,16
ZRH-TOS,16
VDS-HVG,15
BOO-ALF,15
BNN-SSJ,15
TRD-KRS,15
BGO-HFT,15
BGO-LKL,15
MOL-BOO,15
KSU-TRF,15
OSL-HFT,14
MOL-HAU,14
SSJ-BNN,13
BVG-HFT,13
VAW-HFT,13
MEH-LKL,12
HFT-BJF,11
VAW-BVG,11
OSY-RVK,10
BVG-BJF,10
OSL-MJF,10
HVG-KKN,9
HVG-VDS,8
BRU-OSL,8
EVE-ALF,7
HVG-MEH,7
VAW-BJF,7
BJF-BVG,7
BGO-MJF,7
BOO-HFT,6
LKL-HVG,6
SDN-FDE,6
SVG-MJF,6
VDS-SOJ,5
OSL-BVG,5
BGO-VDS,5
EVE-VDS,5
ALF-EVE,5
OSL-OSY,5
TRD-LKL,4
BJF-MEH,4
LKL-MEH,4
SAW-OSL,4
BOO-MOL,4
AMS-MJF,4
SOJ-KKN,4
PRN-OSL,3
HVG-HAA,3
HAA-KKN,3
BJF-HVG,3
KKN-ANX,3
TRD-VDS,3
BOO-HVG,3
BGO-KKN,3
TRD-SVJ,3
ALF-FRO,3
FRO-ALF,3
SRP-OSL,3
BNN-SVG,2
KSU-BOO,2
MEH-BVG,2
BOO-VDS,2
BOO-LKL,2
LKL-VDS,2
BJF-VAW,2
VDS-BOO,2
KKN-BOO,2
HFT-BOO,2
BGO-SSJ,2
OSL-SSJ,2
DBV-OSL,2
SOG-BOO,2
HAA-HVG,2
LKN-LKL,1
KKN-SOJ,1
HFT-ANX,1
ANX-HFT,1
LKN-VDS,1
OSL-BJF,1
EVE-FRO,1
AMS-SSJ,1
HAA-VDS,1
DOH-SDN,1
BGO-OSY,1
AMS-SVG,1
AMS-SDN,1
CPH-SDN,1
HFT-VAW,1
