airport,bag_amount
OSL-CPH,18187
OSL-KEF,6282
OSL-HEL,5128
OSL-FRA,4199
OSL-RIX,3935
OSL-ALC,3894
OSL-ARN,3876
BGO-CPH,3858
OSL-AMS,3727
OSL-BLL,3691
OSL-LHR,3640
SVG-CPH,3084
OSL-AGP,2962
OSL-NCE,2812
OSL-CDG,2770
OSL-CHQ,2660
OSL-ZRH,2624
OSL-KRK,2444
OSL-MUC,2368
BGO-ABZ,2073
OSL-VNO,2046
OSL-GDN,1931
TRD-CPH,1910
OSL-SXF,1893
OSL-TLL,1751
OSL-LGW,1594
OSL-AYT,1519
OSL-BUD,1466
OSL-AAL,1371
SVG-ABZ,1354
OSL-PLQ,1290
OSL-ATH,1177
BGO-GDN,1091
OSL-PRG,1089
OSL-SPU,1072
OSL-STN,1054
OSL-WAW,1047
OSL-AAR,1035
OSL-HAM,1035
BGO-AMS,1030
AES-GDN,999
OSL-RHO,948
SVG-GDN,920
BGO-KUN,901
OSL-BCN,894
OSL-LPA,866
OSL-VIE,842
ARN-OSL,792
SVG-KRK,779
AES-KUN,774
SVG-AMS,739
KEF-OSL,722
HAU-GDN,717
BOO-GDN,695
OSL-PRN,678
OSL-BEG,656
OSL-PMI,640
OSL-IST,635
TRD-GDN,604
TOS-GDN,599
CPH-OSL,589
OSL-DUS,589
OSL-MAN,577
TRD-KRK,574
SVG-KUN,558
BGO-KRK,554
BGO-SZZ,506
OSL-SAW,491
TRD-AMS,472
BGO-WAW,442
SVG-KTW,420
BGO-MNL,398
SVG-SZZ,393
BGO-ALC,386
TOS-KRK,358
BGO-KTW,339
OSL-DUB,333
OSL-KYA,320
OSL-ADD,307
OSL-EDI,304
MOL-GDN,274
ALC-OSL,272
OSL-DOH,262
OSL-DBV,254
TOS-ZRH,246
BGO-CDG,234
HEL-OSL,220
BLL-OSL,206
OSL-ADB,199
OSL-OTP,191
RIX-OSL,190
DOH-OSL,177
HAU-ALC,173
OSL-BRU,173
BGO-CPT,170
FRA-OSL,163
AGP-OSL,160
ZRH-OSL,142
MAN-OSL,125
CPH-SVG,121
OSL-DXB,120
OSL-FAO,118
AES-AMS,116
HAU-KRK,106
BGO-LPA,105
KRS-AMS,105
HAU-AGP,98
PMI-OSL,96
LGW-OSL,91
ABZ-SVG,81
NCE-OSL,80
AES-ABZ,77
BGO-OTP,76
EDI-OSL,73
ATH-OSL,73
KRS-GDN,72
SPU-OSL,71
BCN-OSL,70
CPH-BGO,68
BGO-LCA,60
AAR-OSL,58
OSL-FAE,50
SVG-NCL,49
DUS-OSL,45
DUB-OSL,39
BGO-LED,38
ADD-OSL,38
BUD-OSL,36
MUC-OSL,34
CDG-OSL,34
AMS-OSL,33
LHR-OSL,28
PRG-OSL,27
BGO-INV,23
AES-LSI,17
AAL-OSL,13
LPA-OSL,12
SXF-OSL,12
VNO-OSL,8
SVG-EME,7
TLL-OSL,6
WAW-OSL,5
HAM-OSL,5
BGO-LSI,5
BGO-EBJ,5
AES-EBJ,5
DXB-OSL,5
BGO-CAL,5
AMS-BGO,2
TRD-UME,1
CHQ-OSL,1
KSU-MAN,1
