route,baggage_amount
OSL-CPH,18424
OSL-KEF,6965
OSL-LHR,5559
OSL-HEL,5450
OSL-CDG,4964
BGO-CPH,4748
OSL-FRA,4362
OSL-AMS,4199
OSL-RIX,4065
OSL-ARN,4024
OSL-ALC,4018
OSL-BLL,3842
SVG-CPH,3476
OSL-NCE,3305
OSL-AGP,3152
OSL-MUC,3010
OSL-CHQ,2993
OSL-ZRH,2951
OSL-KRK,2569
OSL-ATH,2453
OSL-GDN,2399
OSL-VNO,2380
TRD-CPH,2379
BGO-ABZ,2241
OSL-TLL,2111
OSL-SXF,1902
OSL-HAM,1718
OSL-PLQ,1704
OSL-AYT,1655
OSL-LGW,1602
OSL-AAL,1597
SVG-ABZ,1564
OSL-BUD,1559
OSL-VIE,1502
TOS-CPH,1372
BGO-GDN,1368
SVG-GDN,1246
OSL-SPU,1202
OSL-PRG,1195
OSL-WAW,1192
OSL-RHO,1179
OSL-AAR,1119
BGO-AMS,1085
OSL-BCN,1079
AES-GDN,1076
OSL-STN,1057
OSL-OTP,1048
OSL-DUS,965
OSL-LPA,941
OSL-FCO,908
BGO-KUN,901
OSL-MAN,877
SVG-KRK,869
SVG-AMS,797
OSL-TXL,788
AES-KUN,774
OSL-PMI,758
OSL-MNL,758
OSL-MAD,739
OSL-IST,737
OSL-BEG,737
HAU-GDN,732
BOO-CPH,726
OSL-PRN,719
BOO-GDN,718
OSL-BRU,712
TRD-GDN,710
BGO-ALC,694
BGO-KRK,688
TOS-FRA,655
TOS-GDN,653
BGO-CDG,649
TRD-KRK,641
OSL-MXP,616
OSL-LIS,610
OSL-FAE,608
OSL-GVA,595
OSL-ZAG,593
TOS-MUC,585
BGO-MNL,559
SVG-KUN,558
TRD-AMS,536
BGO-SZZ,513
EVE-CPH,509
BGO-ARN,509
BGO-WAW,505
OSL-SAW,496
OSL-DUB,492
SVG-ALC,473
BGO-LHR,452
TOS-ZRH,441
OSL-EDI,431
AES-CPH,428
TRD-RIX,425
SVG-KTW,422
OSL-KYA,418
SVG-LHR,403
SVG-SZZ,394
KRS-CPH,385
OSL-ABZ,381
OSL-VCE,378
BGO-BLL,371
OSL-SOF,366
OSL-TUN,364
OSL-HGA,364
TOS-KRK,363
OSL-ADD,361
BGO-FRA,356
BGO-OTP,349
OSL-OPO,341
BGO-KTW,341
SVG-KEF,331
SVG-ARN,327
EVE-MUC,325
OSL-ISB,324
OSL-MRS,320
OSL-TLS,320
SVG-BLL,316
OSL-LCA,313
BGO-RIX,308
OSL-ADB,307
OSL-DBV,303
TRD-ALC,300
BGO-AGP,298
BGO-AAL,296
OSL-DXB,288
ALF-CPH,280
MOL-GDN,279
KSU-ABZ,279
OSL-DOH,275
TRD-MUC,265
OSL-SKG,263
SVG-AGP,263
TRD-FRA,259
TRD-BLL,258
OSL-CAI,257
OSL-CEB,251
OSL-BOD,249
OSL-IKA,248
SVG-TXL,243
OSL-GOT,242
BGO-MAN,242
AES-OTP,241
OSL-MPL,238
BGO-KEF,234
SVG-NCL,231
BGO-TXL,231
OSL-KUL,230
BGO-MUC,226
OSL-KBP,223
BGO-ZRH,220
AES-AMS,218
OSL-ESB,217
