route,baggage_amount
OSL-BGO,18358
OSL-TRD,17985
OSL-TOS,16459
OSL-SVG,15782
TRD-OSL,12720
BGO-OSL,12697
OSL-EVE,11903
OSL-BOO,11664
TOS-OSL,9958
SVG-OSL,9703
BOO-OSL,9439
BGO-SVG,8306
EVE-OSL,7609
OSL-AES,7252
OSL-ALF,6190
BGO-TRD,5243
SVG-BGO,5140
OSL-HAU,4959
TRD-BGO,4842
OSL-KRS,4251
AES-OSL,4129
OSL-BDU,4110
OSL-KKN,4004
BGO-KRS,3961
TRD-SVG,3518
OSL-MOL,3459
SVG-TRD,3408
BGO-KSU,3342
BGO-AES,3007
KKN-OSL,2939
BDU-OSL,2858
OSL-LYR,2699
OSL-KSU,2667
TOS-TRD,2642
BGO-TOS,2612
BGO-TRF,2594
TOS-BGO,2586
TOS-HFT,2530
BGO-FRO,2422
TRD-TOS,2379
HAU-OSL,2303
KRS-BGO,2171
BOO-TRD,2126
MOL-OSL,2055
TRD-BOO,2012
BOO-LKN,2002
TOS-BOO,1913
BOO-SVJ,1757
BGO-BOO,1728
ALF-OSL,1716
BOO-TOS,1681
BOO-BGO,1663
OSL-FRO,1545
AES-BGO,1439
KSU-OSL,1404
BGO-MOL,1388
TRD-KRS,1387
TRD-EVE,1351
KRS-TRD,1310
TOS-ALF,1294
EVE-BGO,1273
BGO-EVE,1257
KRS-OSL,1229
TRD-BNN,1216
KSU-BGO,1185
TOS-SVG,1148
OSL-HOV,1146
OSL-HFT,1118
TOS-LKL,1115
TOS-LYR,1101
EVE-TRD,1090
OSL-LKN,1060
OSL-LKL,1035
LYR-OSL,1010
SVG-KSU,996
OSL-FDE,988
KSU-SVG,962
BOO-SVG,957
TRD-TRF,917
TOS-KKN,913
TRD-SSJ,890
SVG-AES,879
TRD-MQN,879
LKL-OSL,875
LKN-OSL,832
FRO-BGO,799
SVG-TRF,794
TRD-RVK,785
SVG-TOS,785
AES-SVG,776
BOO-MQN,763
SVG-BOO,745
TOS-KRS,742
SVG-FRO,731
MOL-BGO,710
TOS-VDS,704
OSL-SVJ,702
SVG-EVE,681
OSL-MQN,678
TRD-MJF,677
BOO-SKN,673
FRO-SVG,617
EVE-SVG,602
FDE-OSL,602
HOV-OSL,596
SVJ-OSL,585
KRS-TOS,581
TRD-AES,581
BGO-HOV,577
LKN-BOO,567
BOO-KRS,567
FRO-OSL,565
BGO-HFT,559
OSL-MJF,555
BOO-MJF,542
ALF-TOS,542
TOS-AES,529
OSL-BNN,512
HFT-TOS,512
SVJ-BOO,500
SVG-MOL,498
MQN-OSL,497
KKN-TOS,496
KRS-BOO,489
OSL-SOG,487
MOL-SVG,478
OSL-SSJ,460
TRD-OSY,452
BOO-ANX,451
BOO-SSJ,451
HFT-OSL,442
OSL-SDN,439
AES-TRD,438
LYR-TOS,435
VDS-TOS,433
AES-KRS,410
TRD-HAU,406
MJF-OSL,403
KRS-AES,402
TOS-ANX,397
