airport,bag_amount
OSL-LGW,1620
OSL-SXF,1502
OSL-RIX,1169
OSL-KRK,1144
OSL-CPH,1069
TRD-OSL,951
OSL-BUD,899
OSL-TLL,869
OSL-VNO,775
BGO-OSL,753
OSL-ALC,736
OSL-PLQ,664
OSL-AYT,654
OSL-MUC,602
OSL-AGP,594
OSL-ARN,585
OSL-EDI,567
SVG-OSL,559
TOS-OSL,558
OSL-HAM,555
OSL-BLL,499
OSL-GDN,492
OSL-AMS,451
EVE-OSL,445
BOO-OSL,410
OSL-CDG,397
OSL-HEL,342
OSL-BEG,338
BGO-LGW,315
OSL-SPU,246
OSL-CHQ,237
OSL-LPA,212
AES-OSL,209
OSL-PRG,192
ARN-OSL,190
OSL-NCE,190
BGO-ALC,152
MOL-OSL,137
HAU-OSL,131
OSL-PRN,111
ALF-OSL,105
BGO-CPH,98
KRS-OSL,83
HEL-OSL,70
OSL-KEF,70
CPH-OSL,54
VNO-OSL,53
BUD-OSL,53
BGO-CHQ,32
RIX-OSL,30
TLL-OSL,29
SVG-BGO,29
AGP-OSL,25
SXF-OSL,21
BLL-OSL,20
ALC-OSL,20
OSL-BGO,18
PRG-OSL,13
KEF-OSL,12
OSL-PMI,12
LPA-OSL,9
KKN-OSL,8
LGW-OSL,8
CDG-OSL,5
GDN-OSL,5
OSL-BOO,4
NCE-OSL,4
MUC-OSL,3
KRK-OSL,3
TRD-BGO,3
EDI-OSL,2
OSL-TRD,2
TOS-BGO,2
OSL-TOS,1
OSL-KKN,1
AMS-OSL,1
OSL-KRS,1
OSL-SVG,1
