airport,bag_amount
OSL-CPH,18187
OSL-KEF,6282
OSL-HEL,5128
BGO-OSL,4324
OSL-FRA,4199
TOS-OSL,4060
OSL-RIX,3935
OSL-ALC,3894
OSL-ARN,3876
BGO-CPH,3858
OSL-AMS,3727
OSL-BLL,3691
OSL-LHR,3640
TRD-OSL,3341
SVG-CPH,3084
SVG-OSL,2986
OSL-AGP,2962
OSL-NCE,2812
OSL-CDG,2770
OSL-CHQ,2660
OSL-ZRH,2624
OSL-KRK,2444
OSL-MUC,2368
BGO-ABZ,2073
OSL-VNO,2046
BOO-OSL,1983
OSL-GDN,1931
TRD-CPH,1910
OSL-SXF,1893
OSL-TLL,1751
OSL-LGW,1594
OSL-AYT,1519
EVE-OSL,1497
OSL-BUD,1466
OSL-AAL,1371
SVG-ABZ,1354
OSL-PLQ,1290
AES-OSL,1252
OSL-ATH,1177
BGO-GDN,1091
OSL-PRG,1089
OSL-SPU,1072
OSL-STN,1054
OSL-WAW,1047
OSL-AAR,1035
OSL-HAM,1035
BGO-AMS,1030
AES-GDN,999
OSL-RHO,948
SVG-GDN,920
BGO-KUN,901
OSL-BCN,894
OSL-LPA,866
OSL-VIE,842
ARN-OSL,792
KRS-OSL,788
SVG-KRK,779
AES-KUN,774
SVG-AMS,739
KEF-OSL,722
HAU-GDN,717
BOO-GDN,695
OSL-PRN,678
OSL-BEG,656
OSL-PMI,640
OSL-IST,635
TRD-GDN,604
TOS-GDN,599
CPH-OSL,589
OSL-DUS,589
OSL-MAN,577
TRD-KRK,574
SVG-KUN,558
BGO-KRK,554
ALF-OSL,537
BGO-SZZ,506
OSL-SAW,491
TRD-AMS,472
HAU-OSL,459
BGO-WAW,442
SVG-KTW,420
MOL-OSL,419
BGO-MNL,398
SVG-SZZ,393
BGO-ALC,386
KKN-OSL,367
TOS-KRK,358
BGO-KTW,339
OSL-DUB,333
OSL-KYA,320
OSL-ADD,307
OSL-EDI,304
KSU-BGO,298
KSU-OSL,286
MOL-GDN,274
LYR-OSL,273
ALC-OSL,272
OSL-DOH,262
BDU-OSL,258
OSL-DBV,254
TOS-ZRH,246
BGO-CDG,234
HEL-OSL,220
SVG-BGO,216
BLL-OSL,206
OSL-ADB,199
OSL-OTP,191
RIX-OSL,190
OSL-BGO,177
DOH-OSL,177
HAU-ALC,173
OSL-BRU,173
BGO-CPT,170
FRA-OSL,163
AGP-OSL,160
ZRH-OSL,142
OSL-SVG,139
KRS-BGO,138
TRD-BGO,136
MAN-OSL,125
CPH-SVG,121
OSL-DXB,120
FRO-OSL,119
OSL-FAO,118
AES-AMS,116
HOV-OSL,114
BGO-SVG,108
HAU-KRK,106
BGO-LPA,105
KRS-AMS,105
FRO-BGO,102
AES-BGO,101
HAU-AGP,98
PMI-OSL,96
LGW-OSL,91
ABZ-SVG,81
NCE-OSL,80
AES-ABZ,77
BGO-OTP,76
TOS-BGO,74
EDI-OSL,73
ATH-OSL,73
TRF-BGO,72
KRS-GDN,72
SPU-OSL,71
BCN-OSL,70
CPH-BGO,68
LKL-OSL,67
FDE-OSL,61
BGO-LCA,60
AAR-OSL,58
OSL-FAE,50
SVG-NCL,49
SDN-OSL,47
BOO-BGO,45
DUS-OSL,45
SOG-OSL,44
DUB-OSL,39
BGO-LED,38
ADD-OSL,38
BUD-OSL,36
MOL-BGO,35
MUC-OSL,34
CDG-OSL,34
AMS-OSL,33
LHR-OSL,28
PRG-OSL,27
BGO-INV,23
SOG-BGO,21
SSJ-TRD,20
BNN-OSL,19
BGO-KRS,18
AES-LSI,17
TRF-SVG,16
AAL-OSL,13
LPA-OSL,12
SXF-OSL,12
MQN-TRD,9
TRD-SVG,9
VNO-OSL,8
BNN-TRD,8
BOO-TRD,7
MJF-TRD,7
SVG-EME,7
TLL-OSL,6
WAW-OSL,5
HAM-OSL,5
BGO-LSI,5
BGO-EBJ,5
AES-EBJ,5
DXB-OSL,5
BGO-CAL,5
BGO-TOS,3
OSL-TRD,3
EVE-BGO,3
OSL-BOO,3
SDN-BGO,2
BGO-HOV,2
RVK-TRD,2
BGO-FRO,2
OSY-TRD,2
AMS-BGO,2
TRD-OSY,2
BGO-TRF,2
BGO-KSU,1
OSL-EVE,1
TRD-UME,1
BGO-BOO,1
HFT-TOS,1
OSL-KKN,1
OSL-HAU,1
OSL-TOS,1
BGO-TRD,1
CHQ-OSL,1
BOO-SVG,1
KSU-MAN,1
OSL-RRS,1
ANX-OSL,1
SRP-OSL,1
TRD-SSJ,1
TRD-BNN,1
