route,total_people_summer,change_percent,change_people_flat,score,score_normalized,meta={"people_weight": 0.5, "percent_weight": 0.2, "flat_weight": 0.3, "amount_bags": 262145, "amount_deleted": 5810, "percent_deleted": 0.02168274523707339}
EVE-OSL,19072,2.67168,11926,89,100.0
OSL-TRD,17841,2.22472,9816,76,85.39
OSL-TOS,15703,2.72441,9896,74,83.15
BGO-OSL,16797,1.99933,8403,68,76.4
BOO-OSL,11801,2.94138,7756,59,66.29
OSL-SVG,13135,1.99137,6535,53,59.55
BGO-EVE,2023,4.13401,1531,24,26.97
AES-OSL,5629,2.06607,2902,22,24.72
KKN-OSL,4520,2.53424,2705,22,24.72
KRS-OSL,2265,2.5854,1403,13,14.61
ALF-OSL,3484,1.67742,1741,10,11.24
HAU-OSL,2969,1.92598,1431,10,11.24
MOL-OSL,2203,1.74623,945,5,5.62
BGO-TRD,1493,1.49836,489,0,0.0
