route,total_people_summer,change_percent,change_people_flat,score,score_normalized,meta=0 0.0001 1
OSL-TOS,50166,2.7318,31701,156.4753,100.0
OSL-TRD,45234,2.03194,23050,141.3839,90.16
BOO-OSL,43384,2.73567,27480,135.7353,86.48
BGO-OSL,41216,1.9593,20256,129.1038,82.15
OSL-SVG,37834,2.09882,19847,118.754,75.4
EVE-OSL,37219,2.7226,23539,116.8752,74.18
AES-OSL,15813,2.00697,7920,51.4139,31.49
BGO-SVG,14032,1.32425,3436,45.9725,27.94
KKN-OSL,13710,2.54724,8323,44.9849,27.3
ALF-OSL,12685,2.65552,7724,41.8551,25.26
BGO-TRD,12336,1.65445,4877,40.7832,24.56
BDU-OSL,12158,2.50547,7301,40.2448,24.21
KRS-OSL,10503,2.18955,5708,35.1842,20.91
HAU-OSL,9863,1.99107,4886,33.2238,19.63
BGO-KRS,8954,1.9452,4354,30.4437,17.82
BGO-TOS,7727,1.67806,3122,26.6932,15.37
MOL-OSL,7420,1.97762,3649,25.7538,14.76
TOS-TRD,7193,2.13772,3827,25.0541,14.3
SVG-TRD,6499,1.55763,2326,22.933,12.92
BOO-TRD,6434,1.99827,3219,22.7338,12.79
LYR-OSL,5940,2.26635,3267,21.2244,11.81
KSU-OSL,5840,2.21228,3180,20.9243,11.61
BGO-BOO,5808,2.30335,3288,20.8244,11.54
BOO-LKN,5773,2.6174,3560,20.715,11.47
BGO-KSU,5504,1.54421,1935,19.893,10.94
BOO-TOS,4816,1.50841,1621,17.7929,9.57
BOO-SVJ,4655,2.42133,2707,17.2947,9.24
BGO-TRF,4169,1.93666,2000,15.8137,8.28
AES-BGO,3911,1.13071,473,15.0222,7.76
HFT-TOS,3576,1.51688,1176,13.9929,7.09
BGO-EVE,3468,5.17146,2798,13.67,6.88
BGO-FRO,3431,1.25661,702,13.5524,6.8
LKL-OSL,2888,2.93296,1895,11.8957,5.72
BGO-MOL,2638,1.70901,1093,11.1333,5.23
HOV-OSL,2345,1.91058,1115,10.2337,4.64
ALF-TOS,2133,1.37973,585,9.5826,4.21
SSJ-TRD,2012,2.11345,1054,9.2141,3.97
FRO-OSL,1974,1.63852,740,9.0931,3.89
LKL-TOS,1906,1.57791,693,8.893,3.76
KKN-TOS,1900,1.95334,860,8.8738,3.75
TOS-VDS,1897,1.98949,946,8.8638,3.75
BOO-SKN,1877,2.50225,1119,8.8048,3.71
FDE-OSL,1815,1.67781,731,8.6132,3.58
LYR-TOS,1632,1.53578,536,8.0529,3.22
MQN-TRD,1561,1.54382,549,7.833,3.07
MJF-TRD,1334,1.64517,523,7.1432,2.62
BNN-TRD,1327,0.92991,-98,7.1218,2.61
BOO-MQN,1305,1.72689,532,7.0533,2.56
RVK-TRD,1284,1.67283,508,6.9832,2.52
OSL-SDN,1077,2.40811,629,6.3546,2.11
BOO-SSJ,1044,2.26056,579,6.2543,2.04
OSL-SOG,996,1.72823,422,6.1033,1.95
BNN-BOO,929,2.31161,523,5.9044,1.82
ANX-TOS,915,2.04033,467,5.8639,1.79
BGO-HOV,859,1.88013,401,5.6836,1.67
KKN-VDS,848,2.06332,419,5.654,1.65
OSY-TRD,817,1.66556,329,5.5632,1.59
BOO-MJF,812,1.70386,324,5.5433,1.58
LKN-TOS,803,1.90731,384,5.5137,1.56
HAA-TOS,760,2.2604,418,5.3843,1.48
EVE-TOS,651,1.67485,261,5.0532,1.26
BGO-SOG,594,1.40223,170,4.8727,1.14
ANX-BOO,541,1.36232,118,4.7126,1.04
SOJ-TOS,484,2.02605,240,4.5439,0.93
HVG-TOS,382,1.45067,118,4.2328,0.73
MEH-TOS,373,1.96677,182,4.2038,0.71
BJF-KKN,318,1.46585,105,4.0328,0.6
KKN-VAW,314,1.58702,116,4.023,0.59
BOO-RET,292,1.34296,75,3.9526,0.54
HOV-SOG,240,1.4789,78,3.7928,0.44
BVG-KKN,155,1.91892,73,3.5337,0.27
KRS-TRD,20,0.01978,-1000,3.12,0.0
